,OBJECTID,FEATUREID,ZORDER,ANNOTATIONCLASSID,ADDRESS_,ADDRESS_ID,LAST_MOD,DRAW,PROP_CODE,CREATION_DATE,LAST_UPDATE_DATE,TEXT,SYMBOLID,STATUS,TEXTSTRING,FONTNAME,FONTSIZE,BOLD,ITALIC,UNDERLINE,VERTICALALIGNMENT,HORIZONTALALIGNMENT,XOFFSET,YOFFSET,ANGLE,FONTLEADING,WORDSPACING,CHARACTERWIDTH,CHARACTERSPACING,FLIPANGLE,OVERRIDE,SHAPE.AREA,SHAPE.LEN,SHAPE
234,35435,,,0,35435.0,40028.0,1899-12-30 00:00:00,YES,7,,2004-09-08 08:28:44,,0,0,19133,Arial,5.76,0,0,0,2,0,0,0,30.29647054,0,100,100,0,180,223,795.275635256212,124.733594757567,"{'rings': [[[1246303.9394182414, 548768.3326685131], [1246294.9214217365, 548783.7660805732], [1246333.3389436603, 548806.2103958577], [1246342.3547981232, 548790.7769837976], [1246303.9394182414, 548768.3326685131]]], 'spatialReference': {'wkid': 102685, 'latestWkid': 2248}}"
235,35432,,,0,35432.0,40016.0,1899-12-30 00:00:00,YES,7,,2004-09-08 08:16:35,,0,0,11307,Arial,5.76,0,0,0,2,0,0,0,-88.16036744,0,100,100,0,180,223,795.294787002426,124.734317480515,"{'rings': [[[1246488.7580085546, 548697.6318972409], [1246506.6237092316, 548698.2054289579], [1246508.0519156903, 548653.7361031026], [1246490.1862150133, 548653.1625713706], [1246488.7580085546, 548697.6318972409]]], 'spatialReference': {'wkid': 102685, 'latestWkid': 2248}}"
236,35428,,,0,35428.0,40071.0,1899-12-30 00:00:00,YES,7,,,,0,0,11300,Arial,5.76,0,0,0,2,0,0,0,23.19860377,0,100,100,0,180,223,795.261826636127,124.73153218520801,"{'rings': [[[1246731.2767821997, 548637.8973096013], [1246724.2358904034, 548654.326771155], [1246765.1296127737, 548671.8529581875], [1246772.170504585, 548655.4234966189], [1246731.2767821997, 548637.8973096013]]], 'spatialReference': {'wkid': 102685, 'latestWkid': 2248}}"
237,407878,,,0,35388.0,40524.0,1899-12-30 00:00:00,YES,7,,2004-09-08 08:20:56,,0,0,11103,Arial,5.0,0,0,0,2,0,0,0,-33.22848498,0,100,100,0,180,64,599.2687642276701,108.276233648545,"{'rings': [[[1246985.8466837108, 547336.2448353171], [1246994.3495191336, 547349.2240028381], [1247026.656330943, 547328.0600931197], [1247018.1534955353, 547315.0809255838], [1246985.8466837108, 547336.2448353171]]], 'spatialReference': {'wkid': 102685, 'latestWkid': 2248}}"
238,662603,,,0,35388.0,40524.0,1899-12-30 00:00:00,YES,7,,2004-09-08 08:20:56,,0,0,11108,Arial,4.7,0,0,0,2,0,0,0,30.09014101,0,100,100,0,180,64,529.510401688544,101.77932498168501,"{'rings': [[[1246905.4488886446, 547931.8005001843], [1246898.1364930272, 547944.4203401804], [1246929.5484668314, 547962.6218059212], [1246936.8608624488, 547950.0019659251], [1246905.4488886446, 547931.8005001843]]], 'spatialReference': {'wkid': 102685, 'latestWkid': 2248}}"
239,662604,,,0,35388.0,40524.0,1899-12-30 00:00:00,YES,7,,2004-09-08 08:20:56,,0,0,11106,Arial,4.7,0,0,0,2,0,0,0,26.72179918,0,100,100,0,180,64,529.515243538135,101.779963009197,"{'rings': [[[1246913.7825027555, 547915.4808182716], [1246907.2241058946, 547928.5087172538], [1246939.6514075696, 547944.8332187682], [1246946.2098044306, 547931.8058552891], [1246913.7825027555, 547915.4808182716]]], 'spatialReference': {'wkid': 102685, 'latestWkid': 2248}}"
240,408200,,,0,35388.0,40524.0,1899-12-30 00:00:00,YES,7,,2004-09-08 08:20:56,,0,0,11115,Arial,4.7,0,0,0,2,0,0,0,27.21786698,0,100,100,0,180,64,529.5068136038429,101.77900606016802,"{'rings': [[[1246953.251767248, 548105.8060628623], [1246946.580913186, 548118.7761267126], [1246978.8652335703, 548135.3812357187], [1246985.5360876322, 548122.4106363505], [1246953.251767248, 548105.8060628623]]], 'spatialReference': {'wkid': 102685, 'latestWkid': 2248}}"
241,662609,,,0,35388.0,40524.0,1899-12-30 00:00:00,YES,7,,2004-09-08 08:20:56,,0,0,11111,Arial,4.7,0,0,0,2,0,0,0,26.81402081,0,100,100,0,180,64,529.520411877051,101.780066212459,"{'rings': [[[1246973.738256216, 548068.739633888], [1246967.1584389359, 548081.7568226606], [1246999.5595006049, 548098.1338042021], [1247006.138782367, 548085.1166154295], [1246973.738256216, 548068.739633888]]], 'spatialReference': {'wkid': 102685, 'latestWkid': 2248}}"
242,662608,,,0,35388.0,40524.0,1899-12-30 00:00:00,YES,7,,2004-09-08 08:20:56,,0,0,11109,Arial,4.7,0,0,0,2,0,0,0,26.8140208,0,100,100,0,180,64,529.520411877051,101.780066212459,"{'rings': [[[1246981.3773132414, 548051.7259303927], [1246974.7974959612, 548064.7431191653], [1247007.1985576153, 548081.1201007068], [1247013.7778393924, 548068.1029119343], [1246981.3773132414, 548051.7259303927]]], 'spatialReference': {'wkid': 102685, 'latestWkid': 2248}}"
243,662614,,,0,35388.0,40524.0,1899-12-30 00:00:00,YES,7,,2004-09-08 08:20:56,,0,0,19238,Arial,4.7,0,0,0,2,0,0,0,27.26318155,0,100,100,0,180,64,529.5122355921291,101.778985301247,"{'rings': [[[1247093.0178608, 548139.6690681428], [1247086.3362965137, 548152.6343124062], [1247118.6077646464, 548169.2640548795], [1247125.2887934148, 548156.2988106161], [1247093.0178608, 548139.6690681428]]], 'spatialReference': {'wkid': 102685, 'latestWkid': 2248}}"
244,662613,,,0,35388.0,40524.0,1899-12-30 00:00:00,YES,7,,2004-09-08 08:20:56,,0,0,19236,Arial,4.7,0,0,0,2,0,0,0,27.26318155,0,100,100,0,180,64,529.5122360222861,101.778985301247,"{'rings': [[[1247102.7400535792, 548121.2662504613], [1247096.0584893078, 548134.2314947098], [1247128.3299574256, 548150.8612371981], [1247135.010986194, 548137.8959929347], [1247102.7400535792, 548121.2662504613]]], 'spatialReference': {'wkid': 102685, 'latestWkid': 2248}}"
